respondent,sex,condition,exp_clock,trial_clock,block,block_nr,trial_nr,stim_id,event,value,responseTime
59,f,,1.0271556675434113e-05,6.3211191445589066e-06,Ratings,1,0,0,StartBlockRatings,,
59,f,,0.006534315878525376,6.320886313915253e-06,Ratings,1,1,growlingdog.wav,DisplayFixation,,
59,f,,17.718861259287223,17.712334054289386,Ratings,1,1,growlingdog.wav,valence_rating,0.0,14.884
59,f,,22.623422322329134,22.6168955124449,Ratings,1,1,growlingdog.wav,arousal_rating,0.0,4.882
59,f,,22.63190231565386,6.320886313915253e-06,Ratings,1,2,cluckinghen.wav,DisplayFixation,,
59,f,,36.37064464553259,13.738749835873023,Ratings,1,2,cluckinghen.wav,valence_rating,0.55,10.889
59,f,,40.62499111122452,17.993096301564947,Ratings,1,2,cluckinghen.wav,arousal_rating,0.58,4.222
59,f,,40.634196042083204,6.7159999161958694e-06,Ratings,1,3,microwaveoven.wav,DisplayFixation,,
59,f,,47.01468640821986,6.38049866235815,Ratings,1,3,microwaveoven.wav,valence_rating,0.67,3.531
59,f,,52.16969310049899,11.535504169529304,Ratings,1,3,microwaveoven.wav,arousal_rating,0.56,5.122
59,f,,52.177760649705306,6.7159999161958694e-06,Ratings,1,4,firealarm.wav,DisplayFixation,,
59,f,,58.60980020952411,6.432047856040299,Ratings,1,4,firealarm.wav,valence_rating,0.31,3.579
59,f,,60.34482106100768,8.167068312410265,Ratings,1,4,firealarm.wav,arousal_rating,0.86,1.7
59,f,,73.90953054069541,21.731778582325205,VA,2,0,firealarm.wav,StartBlockVA,,
59,f,,73.92062584054656,2.2123334929347038e-05,VA,2,1,cluckinghen.wav-L1_cen1_l.jpg,DisplayFixation,,
59,f,,77.87946281139739,3.9588500077370554,VA,2,1,cluckinghen.wav-L1_cen1_l.jpg,SearchResponse,left,1.135587053373456
59,f,,80.89930200553499,1.5802448615431786e-05,VA,2,2,growlingdog.wav-L1_cen4_l.jpg,DisplayFixation,,
59,f,,84.63630329980515,3.73702025716193,VA,2,2,growlingdog.wav-L1_cen4_l.jpg,SearchResponse,left,0.917739916825667
59,f,,87.65585330897011,2.2913562133908272e-05,VA,2,3,microwaveoven.wav-L1_cen2_l.jpg,DisplayFixation,,
59,f,,91.22606401890516,3.5702363888267428,VA,2,3,microwaveoven.wav-L1_cen2_l.jpg,SearchResponse,left,0.7516869122628123
59,f,,94.24577639834024,1.461734063923359e-05,VA,2,4,growlingdog.wav-L1_cen1_r.jpg,DisplayFixation,,
59,f,,97.48237473005429,3.236615714384243,VA,2,4,growlingdog.wav-L1_cen1_r.jpg,SearchResponse,left,0.4169505841564387
59,f,,100.50201836880296,1.5802448615431786e-05,VA,2,5,microwaveoven.wav-L1_cen2_r.jpg,DisplayFixation,,
59,f,,104.57308280654252,4.071084190858528,VA,2,5,microwaveoven.wav-L1_cen2_r.jpg,SearchResponse,right,1.2526133314240724
59,f,,107.5925087663345,1.659267581999302e-05,VA,2,6,growlingdog.wav-L1_per2_l.jpg,DisplayFixation,,
59,f,,111.11267388635315,3.5201840829104185,VA,2,6,growlingdog.wav-L1_per2_l.jpg,SearchResponse,left,0.7014706556219608
59,f,,114.13231278443709,1.5802448615431786e-05,VA,2,7,microwaveoven.wav-L1_per10_l.jpg,DisplayFixation,,
59,f,,117.73602272709832,3.6037281155586243,VA,2,7,microwaveoven.wav-L1_per10_l.jpg,SearchResponse,left,0.7849096020217985
59,f,,120.75593658792786,1.540733501315117e-05,VA,2,8,firealarm.wav-L1_cen1_l.jpg,DisplayFixation,,
59,f,,124.24267793167382,3.4867587264161557,VA,2,8,firealarm.wav-L1_cen1_l.jpg,SearchResponse,left,0.6674566578585654
59,f,,127.26229312620126,1.5802448615431786e-05,VA,2,9,growlingdog.wav-L1_per4_r.jpg,DisplayFixation,,
59,f,,130.8657352172304,3.603460659040138,VA,2,9,growlingdog.wav-L1_per4_r.jpg,SearchResponse,right,0.7849736020434648
59,f,,133.88541796710342,1.73826701939106e-05,VA,2,10,cluckinghen.wav-L1_cen3_r.jpg,DisplayFixation,,
59,f,,137.45557731902227,3.570178709924221,VA,2,10,cluckinghen.wav-L1_cen3_r.jpg,SearchResponse,right,0.7513767890632153
59,f,,140.4756061427761,1.6197562217712402e-05,VA,2,11,microwaveoven.wav-L1_per1_r.jpg,DisplayFixation,,
59,f,,144.1456433418207,3.6700553719419986,VA,2,11,microwaveoven.wav-L1_per1_r.jpg,SearchResponse,right,0.8504973032977432
59,f,,147.16535611636937,1.659267581999302e-05,VA,2,12,cluckinghen.wav-L1_per10_l.jpg,DisplayFixation,,
59,f,,150.71890037017874,3.5535632169339806,VA,2,12,cluckinghen.wav-L1_per10_l.jpg,SearchResponse,left,0.7334255932364613
59,f,,153.73859655228443,1.619732938706875e-05,VA,2,13,microwaveoven.wav-L2_cen1_L2.jpg,DisplayFixation,,
59,f,,159.57826285180636,5.839684867300093,VA,2,13,microwaveoven.wav-L2_cen1_L2.jpg,SearchResponse,left,3.02036186051555
59,f,,162.59746362664737,1.5802448615431786e-05,VA,2,14,firealarm.wav-L1_cen3_r.jpg,DisplayFixation,,
59,f,,166.25113106076606,3.6536856070160866,VA,2,14,firealarm.wav-L1_cen3_r.jpg,SearchResponse,right,0.8348216614685953
59,f,,169.270803934196,1.540733501315117e-05,VA,2,15,microwaveoven.wav-L2_cen3_R2.jpg,DisplayFixation,,
59,f,,173.35660060704686,4.08581010485068,VA,2,15,microwaveoven.wav-L2_cen3_R2.jpg,SearchResponse,right,1.2659245308022946
59,f,,176.37606133241206,4.7406647354364395e-06,VA,2,16,firealarm.wav-L1_per12_l.jpg,DisplayFixation,,
59,f,,180.0135186065454,3.6374624096788466,VA,2,16,firealarm.wav-L1_per12_l.jpg,SearchResponse,left,0.8165457253344357
59,f,,183.03446831856854,1.6987556591629982e-05,VA,2,17,growlingdog.wav-L2_cen2_L2.jpg,DisplayFixation,,
59,f,,187.10526529955678,4.070815943880007,VA,2,17,growlingdog.wav-L2_cen2_L2.jpg,SearchResponse,left,1.251991109456867
59,f,,190.12494646920823,1.5407567843794823e-05,VA,2,18,cluckinghen.wav-L1_per2_r.jpg,DisplayFixation,,
59,f,,193.92879768600687,3.8038701796904206,VA,2,18,cluckinghen.wav-L1_per2_r.jpg,SearchResponse,right,0.9851658388506621
59,f,,196.94848517654464,1.540733501315117e-05,VA,2,19,firealarm.wav-L1_per12_r.jpg,DisplayFixation,,
59,f,,200.55202603293583,3.6035586341749877,VA,2,19,firealarm.wav-L1_per12_r.jpg,SearchResponse,right,0.784744861535728
59,f,,203.57178068417124,1.6197562217712402e-05,VA,2,20,growlingdog.wav-L2_cen4_R2.jpg,DisplayFixation,,
59,f,,207.65908096078783,4.0873196348547935,VA,2,20,growlingdog.wav-L2_cen4_R2.jpg,SearchResponse,right,1.2691233430523425
59,f,,210.67890158714727,1.6197562217712402e-05,VA,2,21,cluckinghen.wav-L2_cen2_L2.jpg,DisplayFixation,,
59,f,,214.46584259485826,3.7869599708355963,VA,2,21,cluckinghen.wav-L2_cen2_L2.jpg,SearchResponse,left,0.9682741977740079
59,f,,217.48559645586647,1.619732938706875e-05,VA,2,22,microwaveoven.wav-L2_per1_L1.jpg,DisplayFixation,,
59,f,,222.09025257080793,4.604675472714007,VA,2,22,microwaveoven.wav-L2_per1_L1.jpg,SearchResponse,left,1.7857020953670144
